129,2023/10/05 1:52:23 p. m. GMT-5,Zapote,Masculino,Muy importante,Muy importante,Importante,Muy importante,Moderadamente importante,Muy importante,Importante,Moderadamente importante,Buena firmeza,Buen color y textura,Uniforme ,Normal,Perfecta,Delicioso,Mi mamá me daba cuando la visitaba en el trabajo,Frecura,Que este en buen estado
130,2023/10/05 1:53:55 p. m. GMT-5,Zapote,Femenino,Muy importante,Importante,Muy importante,Importante,Moderadamente importante,Muy importante,Importante,Moderadamente importante,"En General deshidratado, tamaño medio. ","Color intenso, llamativo, jugoso ","Intenso, llamativo, Gasca de consumo ","Intenso, azucarado, ganas de consumo ","Suave, jugosa. ",Delicioso. ,"A tierra cálida, momentos específicos del año",Ganas de consumirla ,Que se pueda encontrar 
131,2023/10/05 1:57:29 p. m. GMT-5,Zapote,Masculino,Importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,No es llamativo ,Si es llamativo ,No es brillante ,No huele ,Es rico ,Es rico,Ninguna ,Me gusta,Nivel de madurez 
132,2023/10/05 1:57:32 p. m. GMT-5,Zapote,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Es curioso ,Se ve en un muy buen estado ,"Es opaca, pero es llamativa",No tiene un olor característico ,Es peludita ,"Es dulce, un poco incipida ",Mango ,,
133,2023/10/05 1:57:51 p. m. GMT-5,Zapote,Masculino,Importante,Muy importante,Moderadamente importante,Muy importante,Muy importante,Importante,Muy importante,Poco importante,Enfermo con muchos puntos de afectaciones,Sano con color naranja parejo ,Opaco ,Huele dulce y me dan ganas de comerlo ,"Muy fibroso, se enreda en los dientes ",Dulce y me da sed ,Cuando se compraban varias frutas a veces se llevaba y era rico ,Poca pulpa y muy fibroso pero dulce ,Que la cáscara sea firme y continua con buen color 
134,2023/10/05 2:01:09 p. m. GMT-5,Zapote,Masculino,Moderadamente importante,Importante,Poco importante,Moderadamente importante,Importante,Muy importante,Muy importante,Nada importante,"color verde oliva muy oscuro, se ve compacto y fresco, no se ven imperfecciones, muy bonito","naranja muy intenso, medianamente húmedo, blando al tacto","externamente es muy opaco, nada brillante pero se ve provocativo ","huele muy fresco, muy frutal","bastante fibroso y acuoso, es un poco incomodo de comer","sabor muy frutal, muy dulce, similar a la papaya, algo refrescar ",a mis familiares ,indiferencia ,el tamaño y el estado de madurez 
135,2023/10/05 2:01:29 p. m. GMT-5,Zapote,Masculino,Poco importante,Importante,Poco importante,,Importante,Muy importante,Importante,Importante,Aptecible,Provicativa,Naranja brillante,Dulce y agradable,Fibrosa,Dulce y tranquilidad ,Bajando zapotes de un árbol en caldas,Felicidad,El tamaño
136,2023/10/05 2:02:01 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Poco importante,Moderadamente importante,Muy importante,Muy importante,El fruton en si se ve feo,Parece mango pero mas potente,Negro y muy poco llamativo,Aroma agradable ,Provoca un exceso de dulce y ganas de tomar agua ,Muy dulce y empalagoso,Mi abuela me lo hacia comer cuando no habia plata ,Bienestar y llenura,Higiene y precio 
137,2023/10/05 2:02:52 p. m. GMT-5,Zapote,Femenino,Importante,Poco importante,Poco importante,Moderadamente importante,Importante,Muy importante,Importante,Poco importante,No sabría decirlo por que es café ,Provocativo ,No tiene brillo ,Un olor a mango ,A tal cual mango mezclado con chontaduro ,A comer mango arenoso ,A comer mango ,Agradable es rico ,Que no hayan partes muy blanditas 
138,2023/10/05 2:03:40 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Importante,Nada importante,Moderadamente importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,Es muy opaco,Parece un mango,Es muy opaco,No tengo sentido del olfato,,No me gusto,Ninguna,,
139,2023/10/05 2:06:23 p. m. GMT-5,Zapote,Masculino,Importante,Muy importante,Moderadamente importante,Importante,Importante,Importante,Importante,Poco importante,"Maduro, no se ve tan sano, alguno tiene un poco de hongo","Color agradable,  en el punto",,,Como el mango,Mango,Infancia,A querer más,"Precio, calidad"
140,2023/10/05 2:06:55 p. m. GMT-5,Zapote,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Esta en buen estado,Esta sano creo,Es muy llamativo por su color ,"Huele feo, como inmaduro",La textura es fibrosa y fea ,El sabor es dulce y rico ,Nunca lo habia provado,"Me da ansiedad, siento que es un dulce",Que sea llamativo de color
141,2023/10/05 2:08:25 p. m. GMT-5,Zapote,Femenino,Muy importante,Muy importante,Poco importante,Muy importante,Muy importante,Muy importante,Muy importante,Nada importante,"Tiene como manchas y pecas que me hacen pensar que están enfermas, eso le quita calidad, además no están firmes, tal vez porque ya han Sido muy manipulados",Delicioso en todo el sentido ,"La cáscara es suave, no brilla ","Huele delicioso, me provoca comer mucho",Nada ,Me da hambre ,Nada general,Tranquilidad,Que sea grande y este bonito
142,2023/10/05 2:08:55 p. m. GMT-5,Zapote,Masculino,Importante,Importante,Importante,Importante,Poco importante,Importante,Importante,Poco importante,Que sea de colores frescos ,Textura dura,Colores frescos ,Disfrutarlo,De saborearlo,Disfrutarlo por bue  tiempo ,El campo,Comprarlo,Que este fresco 
143,2023/10/05 2:10:01 p. m. GMT-5,Zapote,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Moderadamente importante,"Color café, apariencia curiosa para ser naranja por dentro ","Color naranja, peludita algunas pepas grandes ",Color café ,Me gusta ,Me gusta ,Me gusta ,Fue mi fruta favorita en algún tiempo ,Me gusta ,Que sea un lugar medianamente limpio y que la fruta se encuentre en buen estado 
144,2023/10/05 2:10:15 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Muy importante,Moderadamente importante,Importante,Muy diferente a lo que conozco,Diferente,Buena,Bueno,Bueno,Bueno,Burno,,
145,2023/10/05 2:12:55 p. m. GMT-5,Zapote,Masculino,Moderadamente importante,Muy importante,Muy importante,Moderadamente importante,Nada importante,Nada importante,Nada importante,Nada importante,"Buena apariencia, maduro",Parece papaya,"Es un colo parecido a la papa, más bien mate",Huele a tierra,"Es parecida al mango, como fibrosa","Es un sabor nuevo, interesante, dulce, parecido al mango",Es la primera vez que lo pruebo en la vida,Dulzura,"Quizás el color, la verdad no manejaria criterios ya que no lo conozco mucho"
146,2023/10/05 2:19:47 p. m. GMT-5,Zapote,Masculino,Nada importante,Nada importante,Nada importante,Importante,Importante,Nada importante,Importante,Nada importante,Fresco y firme,Fibrosa y jugosa,La cáscara tenía baja intensidad de color y  brillo. Externamente no provoca nada ,No le sentí olor característico,Suave ,"Es dulce, me parece mango",Me recuerda el mango,"Me gusta, es jugosa y lechosa ",La firmeza
147,2023/10/05 2:20:22 p. m. GMT-5,Zapote,Masculino,Poco importante,Importante,Poco importante,Poco importante,Moderadamente importante,Muy importante,Importante,Poco importante,Bueno,Bueno,Opaci,A verdura,"Fibroso, suave","Dulce, a melocoterp",Niñez,No me gustan las fibras en los dientes,Estado fitosanitario 
148,2023/10/05 2:21:15 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Moderadamente importante,Poco importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,"Es liso pero no brilloso, sino más opaco, tiene un color verde o café, es dura pero se puede deformar","Es baboso, como con fibras, color naranja fuerte, aguado","Pues el color es opaco, pues no se ve tan atractivo por su color café verdoso",Es como un olor a naturaleza o tierra ,"se siente duro al medio,se parece al mango pero en textura más no en sabor, es aguado. Es fibroso","Es refrescante, dulce, aguado ","Me acuerda al mango en textura y un poco en lo dulce, me acuerda en algo a la calabaza o a la ahuyama","Pues es rica, dulce, tiene buen contenido para comer, es aguado por lo que uno se mancha","Pues el color naranja adentro, la textura dura en la fruta y el color uniforme"
149,2023/10/05 2:21:38 p. m. GMT-5,Zapote,Masculino,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Poco importante,Apariencia opaca ,Color naranja intenso con muchas fibras,"El fruto externamente no tiene brillo, no me provoca probarlo",Aroma fuerte,Es blando al tocarlo,"Es amargo al inicio y dulce al final, un dulce ostigante",.,No me provoca probarlo,.
150,2023/10/05 2:24:34 p. m. GMT-5,Zapote,Masculino,Moderadamente importante,Importante,Importante,Importante,Importante,Importante,Importante,Poco importante,Buena,Buena,Sin casacara,Buen aroma intenso,Firme,Placer,Tropico,Ricura,Calidad externa
151,2023/10/05 2:31:00 p. m. GMT-5,Zapote,Femenino,Importante,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Nada importante,"Tiene un color café con manchas verdes. Se ve en buen estado, consistente","Tiene un normal para el fruto, consistente y en buen estado","No tiene nada de brillo, el color es adecuado para la fruta",Tiene un olor a dulce suave y agradable,"Parecido al mango, con sus pelitos caracteristicos. Suaves",Un sabor de dulce chevere. ,Me recuerda a mi niñez,Felicidad y comodidad,"Que los frutos no estén magullado, que estén firmes."
152,2023/10/05 2:35:22 p. m. GMT-5,Zapote,Masculino,Poco importante,Poco importante,Nada importante,Importante,Importante,Poco importante,Moderadamente importante,Poco importante,Se ve muy normal que pesar de que tiene unos pequeños lunares con textura ,Tiene colores muy vivos y muy normales ,"El color es muy intenso, no tiene brillo ",Ninguno,La textura es blanda y humeda,Parece el sabor de una auyama aunque más dulce,Ninguna,Se ve muy normal ,La firmeza y coloración del fruto
153,2023/10/05 2:35:30 p. m. GMT-5,Zapote,Femenino,Poco importante,Poco importante,Moderadamente importante,Importante,Poco importante,Moderadamente importante,Poco importante,Poco importante,Poco llamativo ,Fresco ,No provoca consumirlo,Nada en particular ,Buena textura y dulce ,Delicioso ,Fruta exótica del caribe ,"Llamativo internamente, insípida externamente ",Ninguno 
154,2023/10/05 2:39:11 p. m. GMT-5,Zapote,Femenino,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,Importante,Poco importante,Duro y color uniforme ,Color naranja intenso,Color intenso sin brillo,Olor parecido a zanahoria ,Textura lisa,Sabor dulce me agrada ,La finca en Villavicencio ,Me agrada,El tamaño color y firmeza
155,2023/10/05 2:39:17 p. m. GMT-5,Zapote,Femenino,Poco importante,Importante,Poco importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Poco importante,Marrón ,Color naranja intenso,Intenso,No le encuentro aroma,Como hilachas,Es rico jugoso,A mi infancia ,Rico,Que sea grande y que esté blandito
156,2023/10/05 2:40:16 p. m. GMT-5,Zapote,Femenino,Muy importante,Muy importante,Importante,Muy importante,Muy importante,Importante,Muy importante,Poco importante,La cascara tenía pequeñas pecas oscuras,Buena firmeza y tamaño pese a a la condición de la cascara,Color intenso,Olor intenso y agradable,La textura es cremosa y agradable ,Un sabor entre mango y melón ,,Agradable ,Tamaño y firmeza del fruto
157,2023/10/05 2:42:24 p. m. GMT-5,Zapote,Masculino,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Muy importante,Importante,Importante,Opaca y poco atrayente ,Muy brillante el color,Opaco son brillo ,Increíble muy fresco ,Agradable similar al mango ,A una zanahoria muy dulce y fresca,Pedacitos de zanahoria que me daba mi papa,Exelente ,Tamaño y precio 
158,2023/10/05 5:45:52 p. m. GMT-5,Zapote,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,"Se ve bastante sano, solo tiene pequeños puntos negros",Se ve seco y fibroso,Este en general no es un fruto de mucho brillo por ende no califique esto,Nada,"Es un poco fibroso pero suave, me provoca como sequedad en boca","Es dulce, similar a una zanahoria pero con más dulzor ",Ninguna,Es bastante rica y antoja comprarla ,Que sea grande y poco afectado en la cáscara 
0,2023/10/06 6:02:44 p. m. GMT-5,Chirimoya,Masculino,Importante,Importante,Importante,Importante,Moderadamente importante,Importante,Importante,Importante,Bien,Bien,Estaba bien el color,Rico,,Estaba bueno,Guanabana dulce,Una sensación agradable,La maduracion 
1,2023/10/06 6:04:43 p. m. GMT-5,Chirimoya,Femenino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Algo oscura su cáscara pero de sabor y apariencia interna muy buena ,Buena,Algo oscura,Bueno,Suave pero no provoca comer al verla por fuera ,Rico,Nunguno,Salud y bienestar,"Color de la cascar, y textura externa"
2,2023/10/06 6:05:47 p. m. GMT-5,Chirimoya,Masculino,Importante,Muy importante,Moderadamente importante,Importante,Poco importante,Importante,Importante,Moderadamente importante,Muy maduro,Bueno ,Regular ,Buena,Regular,Disfrutarlo,El campo ,Disfrutarlo ,Que este en bue  estado 
3,2023/10/06 6:06:15 p. m. GMT-5,Chirimoya,Masculino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Importante,Importante,Moderadamente importante,"Verde oscuro, negrita","Sana, blanca, jugosa","Muy opaco en el exterior, no me dan ganas de tomar la fruta ","Aroma dulce, jugoso","Textura jugosa pero arinosa, rico","Dulce, jugoso, estimulo",Ninguno,"Bienestar, jugosos, agua, dulce, sano","No suelo adquirirlo, no sé encuentra en el mercado con frecuencia "
4,2023/10/06 6:07:28 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Moderadamente importante,Muy importante,Importante,Muy importante,Moderadamente importante,Poco importante,"Se ve bien, firmes, brillantes, textura lisa","Se ve bien blanca, textura agradable","Si se ve brillante, color verde, con café las más maduras", No le detecto aroma,"Textura lisa, ligeramente corrugada","Similar a la guanabana, dulce",Me recuerda estar en mi casa bajando chirimoyas o revisando si ya están para bajar,Sensación de querer comer más fruta,"La calidad de la fruta, que no esté magullado o muy verde, tamaño "
5,2023/10/06 6:07:42 p. m. GMT-5,Chirimoya,Femenino,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Muy importante,Importante,Agradable ,Bueno ,Poco,Agradable,Fibroso,Dulce ,,Felicidad ,Que se vea apetecible 
6,2023/10/06 6:08:10 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Muy importante,Moderadamente importante,Muy importante,Importante,Importante,Muy importante,Poco importante,"fruto de bien tamaño, firme de color bastante oscuro, verdoso","color blanco opaco, con semillas grandes, bastante fibrosa","es bastante oscura, verde muy opaco no brillante ",bastante frutal y dulce ,"fibroso, aguado, provocativo ",bastante frutal y dulce ,me recuerda a otro tipos de frutas como al mango y la guanábana ,"refrescante, dulzor",tamaño y estado de madurez 
7,2023/10/06 6:08:11 p. m. GMT-5,Chirimoya,Masculino,Importante,Moderadamente importante,Importante,Muy importante,Poco importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,,"Cáscara firme, sin daños.","Color verde oscuro opaco, sin brillo ",Ligero dulce,Suave y parece cremosa ,Ligero dulce.,Ninguna en particular ,Algo apetecible ,"Principalmente el aroma que sea intenso, un olor menos opaco "
8,2023/10/06 6:08:59 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Moderadamente importante,Muy importante,Moderadamente importante,Nada importante,Nada importante,Nada importante,Nada importante,"Amagullada, parece un ñame o una guanabana",Jugosa,Es más  bien mate,Dulce,"Jugosa, suave",Es una sensación de dulzura,Es la primera vez que la pruebo,Frescura,Que esté madura
9,2023/10/06 6:09:18 p. m. GMT-5,Chirimoya,Masculino,Importante,Muy importante,Muy importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,"Un estado muy maduro, de un color oscuro","De buen color, blanco. ","No se ve brillo en la fruta, color externo oscuro a negro ","Olor agradable, frutal.","Textura agradable, sabor como a mango ","Buen sabor, de un sabor dulce ",Mango y guanabana ,"Con un sabor agradable, muy rico ","Olor, madurez"
10,2023/10/06 6:09:47 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Bonito,Sano,Se ve en buen estado,Es un aroma dulce ,Es una textura arenosa agrdable ,Es un sabor dulce ,Me recuerda a la guanabana ,Agrabable ,Que estrés fresco
11,2023/10/06 6:11:00 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Poco importante,Importante,Muy importante,Poco importante,Apariencia marrón que puede indicar estado de sobremadurez,Buen color del fruto. No se evidencia deterioro,Poco brillante ,Ligero olor,Textura rugosa,Sabor dulce ,Guanábana ,Agradable,No lo compro
12,2023/10/06 6:11:30 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Importante,Moderadamente importante,Muy importante,Importante,Importante,Muy importante,Poco importante,"Se ve uniforme un poco lisa y de color bien, se ve sano y maduro",Es jugoso muy provocativo ,No tiene brillo el color es opaco pero generalmente representa q está madura,No tiene mucho olor aunque si se detalla si es fresco y agradable cuando se abre si genera mucho olor ,Es una textura sedosa ,Es muy rico dulce y refrescante me provoca seguir comiendo es muy deliciosoo,A mi infancia cuando las bajaba de los árboles que encontraba,Muy agradable genera satisfacción y se quisiera continuar comiendo ,Precio y apariencia 
13,2023/10/06 6:11:50 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Muy importante,Importante,Muy importante,Importante,Muy importante,Importante,Importante,"Bien, suave, llamativo. ","Muy bien, sano ","Suave, opaco","Dulce, provoca un deseo de consumir. ","Suave, fresco. Me genera sensación de tranquilidad ","Suave muy rico, delicioso, jugoso. Me genera sensación de consumir más y más. ",Me recuerda al campo… a mi Tierra ,Amor por la tierra ,Que pueda conseguirlo en el mercado. 
14,2023/10/06 6:11:59 p. m. GMT-5,Chirimoya,Masculino,Poco importante,Muy importante,Muy importante,Muy importante,Importante,Muy importante,Muy importante,Poco importante,Fruto con epidermis lisa color verde oscuro con manchas marrones ,Fruta de textura blanda de color blanco,El color y el brillo realmente no provoca alguna sensación o deseo de comerlo,Olor suave similar al de la guanabana ,"Textura blanda y húmeda, con buen estado de maduración ",Sabor similar al de la guanabana,Ninguna ,Recuerdo de la guanabana ,No lo consumo 
15,2023/10/06 6:12:42 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Muy importante,Moderadamente importante,Importante,Importante,Importante,Muy importante,Poco importante,Extraño,Normal,Opaco con puntos oscuros,Dulce y interés,Suave y se siente como delicado en el paladar,Es extraño me recuerda a la guanábana, Nada,"Neutra, no destaca nada",Referencias del vendedor y preparaciones
16,2023/10/06 6:12:46 p. m. GMT-5,Chirimoya,Masculino,Importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Muy importante,Muy importante,Moderadamente importante,Es verdoso,Blanco ,Es opaco,Huele a guanabana,Suave,Sabe a yogur,Yogur,Gusto,
17,2023/10/06 6:14:28 p. m. GMT-5,Chirimoya,Masculino,Nada importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Muy importante,Poco importante,"Liso, opaco, color verde claro o pálido, sin daños aparentes","Buen color, blanco","Algo de brillo a contra luz, siento que puede ser un indicador de buena calidad ","Aroma dulce, me produce una sensación de gusto","Textura suave, provoca sensación de gusto, calidad ","El sabor es delicioso, dulce, apetecible. Sensación placentera ","A los frutos de guanábana, pero estos don más dulces y de textura más suave ","Una sensación de gusto, de placer general por alimentarme ","Los criterios son la necesidad de alimentación, la apariencia física externa, y el olor"
18,2023/10/06 6:18:07 p. m. GMT-5,Chirimoya,Femenino,Nada importante,Importante,Muy importante,Moderadamente importante,Moderadamente importante,Muy importante,Muy importante,Muy importante,Color oscuro ,Buena apariencia ,Opaco y provoca pensar que está picho,"Olor a pasado, en buen estado huele delicioso ",Textura blanda y sensación suave ,Sabor a anon ,A mi abuelita trayendo anon y chieimoya ,Saciedad,Que no esté muy blando ni muy opaco
19,2023/10/06 6:19:21 p. m. GMT-5,Chirimoya,Femenino,Importante,Importante,Importante,Importante,Moderadamente importante,Importante,Importante,Moderadamente importante,Es un fruto agradable a la vista,Es un fruto con textura suave,"No es una fruta tan vistosa, al contrario es un poco opaca",Es un aroma dulce ,Textura suave y agradable ,Es un sabor agradable,Recuerdos de la casa,Agradable,Que se vea agradable 
20,2023/10/06 6:23:07 p. m. GMT-5,Chirimoya,Femenino,Importante,Muy importante,Muy importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,"Poco agradable, tonos cafés, no uniforme, no es lisa, tiene hendiduras.","No tiene color uniforme, poco agradable.","Poco brillo, poco agradable.","Poco dulce y un poco descompuesto, un poco descompuesto.",Poco agradable.,"Poco agradable, sabe como si estuviera un poco descompuesto, bajo contenido de azúcar.",Cuando mi mamá hacía jugo de guanábana.,Poco agradable.,"Estado de madurez, precio, aspecto, firmeza, olor, sabor."
21,2023/10/06 6:23:47 p. m. GMT-5,Chirimoya,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Poco importante,Bonito,"Suave, Blanco","Color opaco, verde oscuro ",Suave a fruto fresco ,Textura fibrosa y cremosa,Sabor a Anon ,Al campo en la finca de mis abuelos a una planta de Anon,Algo rico porque es dulce y agrio,"La firmeza, olor, color y precio "
22,2023/10/06 6:24:40 p. m. GMT-5,Chirimoya,Masculino,Moderadamente importante,Importante,Moderadamente importante,Importante,Poco importante,Importante,Importante,Poco importante,Buen estado,Presencia regular,"Ausencia de brillo, inmadurez",Fermentación ,Blando,Fruto dulce pero sensación añeja ,A frutos sobremaduros,Mal estado,"Textura, olor y apariencia"
23,2023/10/06 6:25:43 p. m. GMT-5,Chirimoya,Masculino,Muy importante,Importante,Poco importamte,Importante,Importante,Importante,Importante,Nada importante,Blandita como verde ,Bien apetitosa ,Un brillo oscuro limpio,Me recuerda el olor a yogurt muy rico ,Es como babosa arenosa ,Sabor a yogurt de guanábana ,Las chicas dando muestras de fruta ,Muy rica ,Que no se sienta ni muy dura ni muy blandita 
24,2023/10/06 6:28:19 p. m. GMT-5,Chirimoya,Femenino,Poco importante,Muy importante,Moderadamente importante,Muy importante,Moderadamente importante,Moderadamente importante,Importante,Nada importante,"Firme, agradable ","Brillante, suave, jugoso",Intensidad alta y poco brillante,"Aroma a fruto fresco y dulce, Satisfacción ",Textura suave y sensación satisfactoria ,Dulce,Infancia y pueblo,Punto medio ,Que se vea fresca 
25,2023/10/06 6:32:02 p. m. GMT-5,Chirimoya,Masculino,Poco importante,Poco importante,Importante,Poco importante,Importante,Muy importante,Importante,Importante,"Se ve bien, el color tanto blanco como verde siempre es agradable y recuerda la guanábana. ",Se nota muy jugosa y apetitosa.,No es tan brillanté y hay frutas que a la vista se ven más agradables.,No olía demasiado en comparación con otro frutos como los cítricos ,Sensación suave y un poco gomosa al mismo tiempo jugosa.,"Es muy dulce, parecido a la guanábana con la diferencia que no es ácida, provoca querer comer más ","Niñez en el campo comiendo guanábana, es la primera vez que la pruebo pero se asemeja bastante a la guanábana.","Agua la boca, el sabor no es tan abrumador lo que posibilita poder comer más ","El lugar de donde proviene, orgánica o no y la relación peso precio "
26,2023/10/06 6:32:40 p. m. GMT-5,Chirimoya,Masculino,Importante,Importante,Poco importamte,Moderadamente importante,Moderadamente importante,Importante,Importante,Importante,Luce un poco maduro ,Se encuentra bastante blando ,Se encontraba un poco oscuro ,Huele dulce y me produce antojo ,Suave y antojo ,Estaba un poco fermentado ,No recuerdo ,Buena ,"Costo, lugar de origen, persona que se beneficia de la comercialización "
27,2023/10/06 6:33:24 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,Tiene buen color y tamaño,"Buena consistencia, color y olor","Color verde intenso, provoca antojo","Aroma suave, algo neutro. Salivación ","Suave, granulosa","Sabor dulce, genera algo de frescura",Niñez ya que comía mucha guanabana,Es agradable al gusto,Que este compacta y no se sienta muy blandita
28,2023/10/06 6:37:24 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Importante,Importante,Importante,Muy importante,Poco importante,"Firme, brillante","Firme y suave, color crema","Verde con algunas coloraciones rojizas, brillante, se ve de","Dulce con un poco de ácido, me gusta como huele ","Blanda, no me agrada, parece una mantequilla y prefiero las texturas más fibrosas ","Muy dulce, me gusta, pero preferiría que fuera un poco más ácido ",Ninguna ,Gusto ,"Color, aroma, precio, aspecto físico "
29,2023/10/06 6:38:28 p. m. GMT-5,Chirimoya,Masculino,Poco importante,Importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Moderadamente importante,Bueno,Se ve como guanábana ,"No provoca de golpe, pero el color interno si es apetecible ",Es dulce y rico,Suave y granulosa,Sabe a guanabana pero más rico,Estar en mi tierra natal,Me gusta ,Los mismos criterios que con la guanábana 
30,2023/10/06 7:00:37 p. m. GMT-5,Chirimoya,Femenino,Importante,Importante,Muy importante,Moderadamente importante,Importante,Muy importante,Muy importante,Muy importante,"Verdoso, con poca firmeza por lo que se observa ",Cremoso.,"Es un poco brilloso, pero se ve apetitoso.","Olor dulzón, dan ganas de probarlo.","Es cremosa, ","Dulzón, seguir comiendo.",A la guanábana.,"Buena, estaba muy rica.","Calidad, color, el tamaño y olor "
31,2023/10/09 3:23:03 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Importante,Muy importante,Muy importante,Poco importante,Buena,Bueno,Fruto opaco y manchado,Suave y rico,Suave ,Dulce,Guanábana más dulce,Me gusta,"Color, textura y olor"
32,2023/10/09 3:23:45 p. m. GMT-5,Chirimoya,Masculino,Importante,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Muy importante,Poco importante,En buen estado,Medio maduras y marrones,Colores opacos y neutros a la vista ,Muy neutro,Frescura y suavidad,"Muy dulce pero a punto de consumo,agradable al paladar",Primera vez que consumo ,Nuevos sabores y sensaciones endulzantes,"El precio, el estado de la cascara y la higiene "
33,2023/10/09 3:23:50 p. m. GMT-5,Chirimoya,Femenino,Importante,Importante,Nada importante,Moderadamente importante,Muy importante,Muy importante,Importante,Nada importante,"El fruto se ve con coloración característica, firme y con tonos opacos","Jugosa, lechos y suave",Tiene baja intensidad de brillo y no me produce nada al verlo,Es un aroma similar al de la papaya y me recuerda a esta,Me gusta la textura interna y me gustaría seguir probando mas,El sabor es dulce y dan ganas de seguir comiendo,Me recuerda a la guanábana y el olor a papaya ,Me gusta y compraría la fruta ,El tamaño y la firmeza
34,2023/10/09 3:27:54 p. m. GMT-5,Chirimoya,Femenino,Muy importante,Muy importante,Muy importante,Importante,Moderadamente importante,Importante,Importante,Importante,Una apariencia fresca y textura lisa.,Textura suave y agradable,La cáscara es fresca ,Tiene un aroma agradable y fresco,Es suave y refresca,Es apetecible y agradable ,Llanos orientales ,Satisfaccion ,Que no tenga golpes y este fresca 
35,2023/10/09 5:41:36 p. m. GMT-5,Chirimoya,Masculino,Muy importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Importante,Muy importante,Nada importante,buenos,"mala, fermentado",no brilla un poco apetito ,bueno,buena,regular,guanabana ,buena,que sea limpio 
36,2023/10/09 5:43:33 p. m. GMT-5,Chirimoya,Masculino,Importante,,Importante,Importante,Moderadamente importante,Importante,Muy importante,Nada importante,Bien ,Bien ,Muy opaco,Aroma fuerte ,Cómo guanabana más dura ,Similar a la guanabana ,Guanabana  o a una guatila ,Igual a una fruta normal ,"Ganas de comerlo, precio "
37,2023/10/09 5:44:47 p. m. GMT-5,Chirimoya,Masculino,Muy importante,Muy importante,Muy importante,Importante,Importante,Importante,Importante,Importante,Sabor a mango maduro variedad azúcar. Muy delicioso. Buena apariencia.,Muy buena.,Muy intensa.,Aroma agradable.,Rugosa.,Dulce. Sabor a mango maduro variedad azúcar.,Recuerdos de la costa caribe.,Deliciosa.,Sanidad.
38,2023/10/09 5:45:15 p. m. GMT-5,Chirimoya,Masculino,Importante,Muy importante,Muy importante,Muy importante,Importante,Muy importante,Muy importante,Importante,Se ve inmadura y dura ,Madura y de buena textura,No me dan ganas de comerlo ,Es muy similar a la guanabana ,De textura suave y sensación agradable ,Sabor a guanabana y me provoca alegría gustativa,A la guanabana ,Una sensación agradable en el paladar,Que sea cercano y que haya una calidad-precio
